,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
W,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
p,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
r_ee,1.0,1.241,1.483,1.724,1.966,2.207,2.448,2.69,2.931,3.172,3.414,3.655,3.897,4.138,4.379,4.621,4.862,5.103,5.345,5.586,5.828,6.069,6.31,6.552,6.793,7.034,7.276,7.517,7.759,8.0
r_ie,1.0,1.241,1.483,1.724,1.966,2.207,2.448,2.69,2.931,3.172,3.414,3.655,3.897,4.138,4.379,4.621,4.862,5.103,5.345,5.586,5.828,6.069,6.31,6.552,6.793,7.034,7.276,7.517,7.759,8.0
r_ei,1.0,1.241,1.483,1.724,1.966,2.207,2.448,2.69,2.931,3.172,3.414,3.655,3.897,4.138,4.379,4.621,4.862,5.103,5.345,5.586,5.828,6.069,6.31,6.552,6.793,7.034,7.276,7.517,7.759,8.0
r_ii,1.0,1.241,1.483,1.724,1.966,2.207,2.448,2.69,2.931,3.172,3.414,3.655,3.897,4.138,4.379,4.621,4.862,5.103,5.345,5.586,5.828,6.069,6.31,6.552,6.793,7.034,7.276,7.517,7.759,8.0
noise_ratio,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
target_rate,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
active_rate,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
background_rate,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
Assemblies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
number_of_groups,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Excitatory_FR_mean,8.282,8.047,7.819,7.71,7.635,7.55,7.545,7.575,7.581,7.628,7.693,7.775,7.876,7.959,8.092,8.212,8.318,8.473,8.608,8.754,8.882,9.003,9.19,9.337,9.525,9.667,9.862,10.025,10.211,10.384
Excitatory_FR_std,4.636,4.383,4.191,4.114,4.093,4.08,4.124,4.196,4.258,4.35,4.463,4.585,4.717,4.839,4.986,5.14,5.281,5.456,5.612,5.807,5.958,6.125,6.328,6.512,6.739,6.922,7.159,7.366,7.583,7.831
Inhibitory_FR_mean,8.499,8.295,8.102,8.009,7.951,7.9,7.911,7.951,7.984,8.054,8.127,8.222,8.335,8.432,8.568,8.693,8.814,8.963,9.103,9.249,9.378,9.507,9.681,9.825,10.003,10.15,10.326,10.489,10.656,10.822
Inhibitory_FR_std,4.619,4.384,4.203,4.128,4.101,4.096,4.141,4.22,4.277,4.386,4.483,4.606,4.74,4.863,4.993,5.143,5.29,5.439,5.601,5.769,5.911,6.06,6.237,6.418,6.613,6.784,6.98,7.18,7.365,7.573
Post_Synaptic_FR,7.71,7.43,7.107,6.67,6.677,6.443,6.323,6.417,6.48,6.417,6.513,6.863,6.687,7.167,7.187,7.26,7.457,7.627,8.083,8.123,8.307,8.533,8.7,8.707,9.02,9.313,9.64,9.77,9.62,10.037
CV_ISI,0.868,0.844,0.879,0.856,0.824,0.839,0.82,0.875,0.849,0.838,0.872,0.846,0.85,0.844,0.923,0.877,0.906,0.915,0.935,0.951,0.892,0.959,0.95,0.923,0.956,0.94,0.969,0.928,0.939,0.961
EI_IN,0.742,0.751,0.757,0.761,0.764,0.768,0.769,0.77,0.769,0.771,0.772,0.772,0.773,0.773,0.775,0.774,0.775,0.774,0.774,0.773,0.773,0.773,0.773,0.772,0.772,0.771,0.769,0.769,0.769,0.768
EI_OUT,0.193,0.178,0.162,0.152,0.14,0.127,0.118,0.111,0.103,0.097,0.091,0.085,0.083,0.078,0.077,0.073,0.07,0.069,0.066,0.063,0.063,0.059,0.06,0.059,0.056,0.056,0.055,0.054,0.053,0.052
EE,0.227,0.209,0.189,0.176,0.161,0.146,0.135,0.128,0.118,0.112,0.106,0.099,0.096,0.091,0.09,0.085,0.082,0.08,0.077,0.074,0.074,0.069,0.07,0.069,0.066,0.066,0.064,0.064,0.062,0.062
II,0.165,0.154,0.14,0.132,0.121,0.111,0.102,0.097,0.09,0.085,0.08,0.075,0.072,0.068,0.068,0.064,0.062,0.061,0.057,0.056,0.056,0.052,0.053,0.052,0.049,0.05,0.048,0.047,0.046,0.046
W_Cor,0.171,0.232,0.249,0.347,0.44,0.486,0.568,0.606,0.642,0.689,0.698,0.728,0.73,0.759,0.756,0.789,0.801,0.813,0.812,0.823,0.835,0.851,0.861,0.875,0.869,0.881,0.891,0.904,0.904,0.903
eW_Dist,0.983,0.979,0.975,0.97,0.965,0.962,0.957,0.952,0.95,0.945,0.942,0.939,0.936,0.931,0.93,0.923,0.92,0.915,0.912,0.911,0.907,0.901,0.897,0.892,0.889,0.886,0.879,0.868,0.867,0.868
iW_Dist,0.976,0.977,0.979,0.978,0.978,0.978,0.976,0.974,0.972,0.97,0.969,0.966,0.963,0.959,0.958,0.953,0.95,0.945,0.942,0.938,0.937,0.931,0.926,0.923,0.919,0.918,0.911,0.903,0.903,0.904
