,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
W,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
p,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
r_ee,1.0,1.241,1.483,1.724,1.966,2.207,2.448,2.69,2.931,3.172,3.414,3.655,3.897,4.138,4.379,4.621,4.862,5.103,5.345,5.586,5.828,6.069,6.31,6.552,6.793,7.034,7.276,7.517,7.759,8.0
r_ie,1.0,1.241,1.483,1.724,1.966,2.207,2.448,2.69,2.931,3.172,3.414,3.655,3.897,4.138,4.379,4.621,4.862,5.103,5.345,5.586,5.828,6.069,6.31,6.552,6.793,7.034,7.276,7.517,7.759,8.0
r_ei,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
r_ii,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
noise_ratio,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
target_rate,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
active_rate,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
background_rate,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
Assemblies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
number_of_groups,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Excitatory_FR_mean,8.282,8.454,8.598,8.767,8.965,9.203,9.423,9.705,9.98,10.332,10.739,11.14,11.576,12.134,12.709,13.401,14.132,14.936,15.894,16.736,17.656,18.603,19.426,20.276,21.001,21.611,22.18,22.614,23.249,23.717
Excitatory_FR_std,4.636,4.592,4.507,4.468,4.422,4.418,4.397,4.422,4.454,4.535,4.671,4.805,5.001,5.263,5.62,6.048,6.623,7.262,8.272,9.117,10.333,11.751,13.148,14.739,16.056,17.298,18.802,19.968,20.672,22.363
Inhibitory_FR_mean,8.499,8.673,8.831,9.007,9.216,9.455,9.69,9.975,10.259,10.609,11.014,11.414,11.86,12.406,12.983,13.654,14.377,15.152,16.094,16.925,17.829,18.748,19.556,20.386,21.056,21.658,22.198,22.641,23.198,23.641
Inhibitory_FR_std,4.619,4.583,4.466,4.429,4.371,4.362,4.327,4.344,4.36,4.43,4.537,4.653,4.846,5.088,5.403,5.803,6.33,6.938,7.89,8.713,9.881,11.296,12.701,14.242,15.511,16.741,18.238,19.427,20.054,21.748
Post_Synaptic_FR,7.71,7.473,7.083,6.693,6.503,6.11,5.537,5.457,5.0,4.653,4.347,4.497,4.073,3.897,3.703,3.573,3.45,3.717,3.367,3.457,2.823,2.587,2.65,2.26,2.15,2.023,2.113,1.913,1.787,1.787
CV_ISI,0.868,0.872,0.795,0.817,0.883,0.822,0.874,0.878,0.835,0.902,0.875,0.914,0.904,0.944,0.944,0.989,0.923,1.031,0.995,0.976,0.946,0.986,1.069,1.028,1.198,1.204,1.273,1.306,1.271,1.196
EI_IN,0.742,0.755,0.769,0.781,0.791,0.8,0.807,0.814,0.82,0.823,0.826,0.827,0.827,0.828,0.825,0.824,0.821,0.819,0.814,0.812,0.806,0.803,0.8,0.796,0.796,0.792,0.79,0.789,0.789,0.785
EI_OUT,0.193,0.169,0.147,0.125,0.108,0.094,0.079,0.07,0.06,0.053,0.045,0.039,0.032,0.026,0.018,0.012,0.004,-0.003,-0.014,-0.021,-0.03,-0.037,-0.044,-0.05,-0.055,-0.058,-0.06,-0.06,-0.063,-0.062
EE,0.227,0.198,0.172,0.144,0.125,0.108,0.091,0.08,0.069,0.061,0.052,0.046,0.037,0.031,0.022,0.015,0.006,-0.002,-0.014,-0.022,-0.032,-0.041,-0.048,-0.055,-0.061,-0.064,-0.067,-0.067,-0.071,-0.069
II,0.165,0.146,0.127,0.108,0.095,0.082,0.07,0.062,0.054,0.047,0.04,0.035,0.028,0.023,0.016,0.01,0.003,-0.003,-0.012,-0.019,-0.026,-0.032,-0.038,-0.043,-0.047,-0.05,-0.052,-0.052,-0.055,-0.054
W_Cor,0.171,0.25,0.381,0.474,0.564,0.627,0.677,0.742,0.781,0.818,0.854,0.872,0.89,0.907,0.932,0.94,0.954,0.966,0.977,0.982,0.991,0.989,0.994,0.995,0.992,0.99,0.99,0.992,0.987,0.989
eW_Dist,0.983,0.981,0.978,0.976,0.972,0.968,0.964,0.958,0.95,0.944,0.934,0.923,0.915,0.898,0.874,0.852,0.806,0.754,0.723,0.662,0.633,0.618,0.566,0.532,0.515,0.503,0.482,0.479,0.448,0.435
iW_Dist,0.976,0.974,0.973,0.972,0.969,0.964,0.96,0.953,0.945,0.934,0.919,0.907,0.892,0.867,0.841,0.808,0.755,0.691,0.655,0.571,0.547,0.526,0.457,0.412,0.4,0.388,0.378,0.373,0.365,0.374
