,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assemblies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_groups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excitatory_FR_mean,0.206,0.354,0.49,0.522,0.568,0.627,0.772,0.792,0.86,0.624,1.169,1.25,1.133,1.068,1.218,1.432,1.868,2.056,2.63,6.259
Excitatory_FR_std,0.079,0.072,0.05,0.054,0.059,0.059,0.066,0.099,0.079,0.116,0.194,0.246,0.226,0.33,0.379,0.391,0.551,0.776,1.719,6.198
Inhibitory_FR_mean,0.195,0.325,0.441,0.479,0.503,0.568,0.682,0.693,0.76,0.546,1.021,1.092,0.985,0.882,1.015,1.145,1.414,1.437,1.801,3.895
Inhibitory_FR_std,0.07,0.069,0.053,0.063,0.047,0.048,0.082,0.105,0.097,0.109,0.203,0.251,0.232,0.295,0.301,0.397,0.471,0.828,1.247,5.107
G_cov,0.017,0.017,0.014,0.019,0.015,0.013,0.015,0.015,0.01,0.016,0.016,0.015,0.014,0.016,0.013,0.015,0.019,0.013,0.013,0.03
Post_Synaptic_FR,0.51,0.516,0.559,0.392,0.488,0.649,0.675,0.621,0.724,0.456,0.756,1.111,1.127,1.01,1.565,1.607,2.63,3.014,3.719,0.059
CV_ISI,0.077,0.124,0.119,0.071,0.112,0.134,0.125,0.09,0.098,0.076,0.097,0.121,0.08,0.06,0.137,0.118,0.138,0.127,0.076,
EI_IN_mu,0.001,0.003,0.005,0.004,0.004,0.005,0.008,0.009,0.007,0.006,0.011,0.013,0.011,0.013,0.016,0.021,0.023,0.026,0.032,0.04
EI_OUT_mu,0.013,0.023,0.041,0.041,0.042,0.047,0.065,0.068,0.057,0.051,0.085,0.094,0.077,0.073,0.081,0.086,0.08,0.067,0.062,0.036
EE_mu,0.013,0.024,0.043,0.043,0.043,0.049,0.068,0.07,0.06,0.052,0.088,0.098,0.081,0.075,0.087,0.092,0.084,0.068,0.064,0.054
II_mu,0.013,0.022,0.04,0.04,0.041,0.045,0.064,0.065,0.056,0.049,0.081,0.09,0.074,0.066,0.076,0.082,0.077,0.069,0.057,0.021
EI_IN_std,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.007
EI_OUT_std,0.004,0.004,0.007,0.005,0.005,0.004,0.004,0.006,0.005,0.005,0.006,0.008,0.005,0.005,0.006,0.007,0.007,0.005,0.004,0.004
EE_std,0.004,0.003,0.007,0.006,0.005,0.004,0.004,0.007,0.006,0.005,0.005,0.008,0.006,0.004,0.005,0.008,0.005,0.004,0.004,0.004
II_std,0.003,0.004,0.006,0.006,0.005,0.004,0.005,0.005,0.005,0.004,0.006,0.006,0.007,0.006,0.006,0.007,0.005,0.005,0.005,0.004
W_Cor,0.045,0.052,0.033,0.07,0.044,0.135,0.191,0.095,0.257,0.151,0.218,0.163,0.4,0.295,0.283,0.332,0.421,0.301,0.398,0.421
eW_Dist,0.155,0.138,0.1,0.091,0.076,0.081,0.056,0.069,0.032,0.027,0.025,0.02,0.032,0.018,0.015,0.009,0.008,0.006,0.006,0.004
iW_Dist,0.141,0.157,0.161,0.105,0.098,0.074,0.076,0.035,0.029,0.028,0.021,0.021,0.015,0.014,0.013,0.009,0.015,0.008,0.012,0.025
