,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
W,3.0,3.158,3.333,3.529,3.75,4.0,4.286,4.615,5.0,5.455,6.0,6.667,7.5,8.571,10.0,12.0,15.0,20.0,30.0,60.0
p,1.0,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.55,0.5,0.45,0.4,0.35,0.3,0.25,0.2,0.15,0.1,0.05
r_ee,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
r_ie,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
r_ei,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
r_ii,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
noise_ratio,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
target_rate,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
rate,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Assemblies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
number_of_groups,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Excitatory_FR_mean,9.303,9.968,9.972,10.11,10.306,11.066,10.787,10.949,11.895,12.318,12.596,12.736,13.386,13.372,13.674,13.965,14.507,16.811,19.893,60.811
Excitatory_FR_std,0.195,0.233,0.269,0.312,0.349,0.351,0.459,0.501,0.521,0.653,0.858,1.328,1.669,2.175,2.841,3.607,5.065,7.405,13.37,66.042
Inhibitory_FR_mean,9.442,10.113,10.132,10.281,10.486,11.218,10.991,11.162,12.061,12.482,12.764,13.001,13.599,13.641,13.949,14.265,14.792,16.773,20.206,59.839
Inhibitory_FR_std,0.21,0.257,0.311,0.35,0.399,0.388,0.516,0.559,0.579,0.637,0.936,1.182,1.412,2.13,2.816,3.686,5.105,7.319,13.252,65.906
G_cov,0.014,0.014,0.014,0.014,0.013,0.012,0.015,0.013,0.011,0.012,0.013,0.015,0.018,0.023,0.026,0.038,0.049,0.055,0.087,0.153
Post_Synaptic_FR,8.343,8.363,8.62,8.293,7.963,8.62,7.847,7.897,8.81,8.65,8.893,8.873,9.76,10.563,10.043,11.32,11.997,14.417,14.327,0.0
CV_ISI,0.737,0.701,0.702,0.712,0.727,0.711,0.736,0.714,0.708,0.696,0.688,0.705,0.656,0.618,0.642,0.565,0.506,0.331,0.482,
EI_IN_mu,0.994,0.993,0.991,0.99,0.989,0.989,0.986,0.984,0.985,0.984,0.982,0.979,0.978,0.976,0.972,0.97,0.963,0.958,0.944,0.927
EI_OUT_mu,0.66,0.695,0.712,0.735,0.751,0.769,0.779,0.795,0.811,0.827,0.836,0.843,0.85,0.854,0.858,0.863,0.855,0.857,0.846,0.837
EE_mu,0.667,0.702,0.72,0.744,0.76,0.778,0.79,0.806,0.822,0.838,0.847,0.854,0.863,0.866,0.874,0.879,0.876,0.892,0.886,0.856
II_mu,0.654,0.688,0.705,0.727,0.742,0.761,0.77,0.785,0.802,0.815,0.828,0.831,0.838,0.842,0.842,0.848,0.836,0.847,0.809,0.806
EI_IN_std,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.003,0.004,0.004,0.005,0.006,0.009,0.011
EI_OUT_std,0.029,0.03,0.029,0.027,0.029,0.025,0.025,0.024,0.022,0.018,0.019,0.017,0.016,0.016,0.016,0.014,0.014,0.013,0.014,0.019
EE_std,0.028,0.03,0.029,0.027,0.029,0.025,0.027,0.025,0.022,0.02,0.02,0.017,0.016,0.016,0.015,0.014,0.013,0.01,0.011,0.021
II_std,0.029,0.03,0.029,0.026,0.028,0.023,0.024,0.024,0.022,0.018,0.019,0.017,0.015,0.015,0.016,0.014,0.015,0.014,0.018,0.022
W_Cor,0.755,0.773,0.543,0.59,0.496,0.591,0.455,0.439,0.425,0.547,0.344,0.092,-0.007,0.004,-0.01,-0.202,-0.109,-0.167,-0.107,-0.195
eW_Dist,0.526,0.72,0.744,0.767,0.839,0.819,0.893,0.89,0.925,0.948,0.956,0.959,0.97,0.976,0.982,0.982,0.987,0.99,0.989,0.992
iW_Dist,0.621,0.685,0.73,0.758,0.725,0.738,0.819,0.856,0.854,0.888,0.924,0.94,0.946,0.967,0.973,0.969,0.959,0.971,0.971,0.966
