,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
W,0.0,0.345,0.69,1.034,1.379,1.724,2.069,2.414,2.759,3.103,3.448,3.793,4.138,4.483,4.828,5.172,5.517,5.862,6.207,6.552,6.897,7.241,7.586,7.931,8.276,8.621,8.966,9.31,9.655,10.0
p,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
r_ee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
r_ie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
r_ei,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
r_ii,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
noise_ratio,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
target_rate,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
active_rate,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5
background_rate,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5
Assemblies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_groups,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Excitatory_FR_mean,8.542,6.291,5.39,5.748,7.151,8.216,8.999,9.373,9.594,9.765,9.819,9.912,9.895,9.928,9.786,9.756,9.659,9.561,9.522,9.463,9.351,9.297,9.168,9.116,9.023,8.95,8.889,8.807,8.738,8.628
Excitatory_FR_std,0.558,0.519,0.492,0.417,0.355,0.294,0.268,0.226,0.199,0.179,0.169,0.143,0.136,0.126,0.12,0.112,0.109,0.104,0.101,0.098,0.095,0.093,0.089,0.088,0.086,0.084,0.084,0.084,0.082,0.082
Inhibitory_FR_mean,8.543,6.339,5.479,5.876,7.282,8.343,9.118,9.487,9.705,9.873,9.922,10.009,9.991,10.018,9.877,9.843,9.747,9.649,9.607,9.547,9.435,9.381,9.251,9.199,9.105,9.03,8.97,8.889,8.82,8.711
Inhibitory_FR_std,0.552,0.517,0.496,0.428,0.369,0.312,0.284,0.243,0.221,0.2,0.188,0.165,0.16,0.148,0.145,0.137,0.138,0.131,0.128,0.122,0.122,0.12,0.117,0.115,0.114,0.113,0.113,0.113,0.111,0.109
Post_Synaptic_FR,2.04,3.512,4.592,5.582,6.102,6.717,7.338,7.72,8.3,8.71,9.177,9.567,9.993,10.357,10.822,11.288,11.613,12.047,12.407,12.76,13.165,13.512,13.867,14.608,15.068,15.46,16.38,17.095,17.875,18.613
CV_ISI,1.058,0.973,0.959,0.911,0.885,0.827,0.792,0.758,0.744,0.715,0.704,0.69,0.667,0.66,0.65,0.647,0.624,0.621,0.62,0.614,0.604,0.6,0.601,0.595,0.6,0.583,0.582,0.583,0.585,0.582
EI_IN,0.986,0.986,0.985,0.987,0.991,0.993,0.994,0.995,0.996,0.996,0.996,0.997,0.997,0.997,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
EI_OUT,-0.0,0.006,0.02,0.103,0.262,0.388,0.477,0.54,0.589,0.628,0.655,0.68,0.7,0.717,0.735,0.751,0.762,0.77,0.788,0.794,0.807,0.811,0.821,0.827,0.836,0.842,0.848,0.856,0.86,0.863
EE,0.002,0.009,0.023,0.106,0.268,0.395,0.485,0.547,0.595,0.633,0.661,0.686,0.705,0.722,0.739,0.756,0.767,0.774,0.792,0.798,0.81,0.814,0.825,0.83,0.839,0.844,0.85,0.858,0.862,0.865
II,-0.0,0.006,0.02,0.102,0.258,0.383,0.472,0.535,0.584,0.623,0.651,0.676,0.696,0.713,0.731,0.747,0.759,0.766,0.785,0.791,0.804,0.808,0.819,0.824,0.834,0.839,0.846,0.854,0.858,0.861
W_Cor,0.955,0.975,0.969,0.951,0.923,0.917,0.875,0.858,0.807,0.744,0.681,0.742,0.652,0.692,0.572,0.564,0.52,0.513,0.493,0.427,0.404,0.421,0.476,0.409,0.369,0.384,0.384,0.275,0.331,0.357
